,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,Man mandir apartment,3 BHK Flat for rent,"₹18,000 /month",None,None,3 Bedrooms,2 Bathrooms,2 Balconies,1000,None,"Man mandir apartment
Saket Nagar , Indore",Family Only,None,Immediate,"Owner on Jun 13, 2024",None,1st   of 4 Floors,None,5 to 10 Year Old,2 Months,None,Charges not included,None,4.1
1,Surya Shreeji Valley,1 Bedroom House for rent,"₹8,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,None,"Surya Shreeji Valley
Bicholi Mardana, Indore","Family , Bachelors (Men Only)",None,Immediate,"Owner on Jun 27, 2024",None,None,None,0 to 1 Year Old,1 Months,None,Charges not included,"Water Storage
Visitor Parking
Rain Water Harvesting",4.0
2,Tirumala Town,2 BHK Flat for rent,"₹14,000 /month",None,None,2 Bedrooms,2 Bathrooms,3 Balconies,1330,900,"Tirumala Town
Super Corridor, Indore","Family , Bachelors (Women Only)",None,Immediate,"Owner on Jun 09, 2024",Vitrified,9th   of 9 Floors,Full,1 to 5 Year Old,2 Months,Yes,Charges not included,"Lift(s)
Swimming Pool
Park
Security Personnel
Airy Rooms
Low Density Society
Fitness Centre / GYM
Club house / Community Center
Rain Water Harvesting",4.1
3,Amrit Palace,3 Bedroom House for rent,"₹26,000 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,None,"Amrit Palace
Nipania, Indore",Family Only,None,Immediate,"Dealer on Jun 17, 2024",Wood,None,None,1 to 5 Year Old,1 Months,None,Charges not included,Private Garden / Terrace,4.3
4,Matrika Casa Greens,3 Bedroom House for rent,"₹25,000 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,None,"Matrika Casa Greens
Talawali Chanda, Indore",Family Only,None,None,"Dealer on Jun 06, 2024",Vitrified,None,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Private Garden / Terrace
Maintenance Staff
Water Storage
Visitor Parking",4.0
5,Apollo DB City,3 BHK Flat for rent,"₹35,100 /month",None,None,3 Bedrooms,2 Bathrooms,2 Balconies,1982,1300,"Apollo DB City
Nipania, Indore",All,None,Immediate,"Dealer on May 08, 2024",Marble,4th   of 13 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Water purifier
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Piped-gas
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Internet/wi-fi connectivity
Shopping Centre
Fitness Centre / GYM
Rain Water Harvesting
Club house / Community Center",4.1
6,Premier Towers,3 BHK Flat for rent,"₹40,500 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,1300,"Premier Towers
Shalimar Township, Indore",All,None,Immediate,"Dealer on May 08, 2024",Marble,6th   of 12 Floors,Full,1 to 5 Year Old,1 Months,Yes,Charges included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Recently Renovated
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",4.0
7,Premier Towers,3 BHK Flat for rent,"₹40,200 /month",None,None,3 Bedrooms,2 Bathrooms,2 Balconies,None,1300,"Premier Towers
Shalimar Township, Indore",All,None,Immediate,"Dealer on May 07, 2024",Marble,2nd   of 6 Floors,None,1 to 5 Year Old,2 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
Water purifier
High Ceiling Height
False Ceiling Lighting
Water Storage
No open drainage around
Recently Renovated
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center
Water softening plant",4.0
8,Heaven Homes,2 BHK Flat for rent,"₹27,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,1174,None,"Heaven Homes
Scheme No 140 Indore, Indore",Family Only,None,Immediate,"Dealer on Jun 03, 2024",None,6th   of 6 Floors,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
Visitor Parking",4.3
9,Signature Heights,2 BHK Flat for rent,"₹30,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,996,"Signature Heights
Pipliyahana, Indore",All,None,Immediate,"Dealer on May 10, 2024",Marble,4th   of 10 Floors,Full,Under Construction,1 Months,Yes,Charges not included,"Security / Fire Alarm
Lift(s)
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Separate entry for servant room
No open drainage around
Visitor Parking
Park
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center
Water softening plant",4.0
