,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,Skye Luxuria 20,4 BHK Flat for rent,₹1.25 Lac /month,None,None,4 Bedrooms,4 Bathrooms,3+ Balconies,3500,None,"Skye Luxuria 20
Vijay Nagar , Indore",Family Only,None,None,"Owner on Jun 26, 2024",None,17th   of 23 Floors,Full,Under Construction,2 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Maintenance Staff
Swimming Pool
Water Storage
Park
Piped-gas
Visitor Parking
Fitness Centre / GYM
Club house / Community Center",4.4
1,Shiv Ganga Apartment,2 BHK Flat for rent,"₹18,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,1000,"Shiv Ganga Apartment
Vidya Nagar , Indore",Bachelors (Women Only),None,None,"Owner on Jun 26, 2024",Vitrified,1st   of 3 Floors,None,10+ Year Old,1 Months,Yes,Charges not included,"Water Storage
Visitor Parking
Natural Light
Airy Rooms
Spacious Interiors",None
2,race course road opp rani sati gate,1 BHK Flat for rent,"₹25,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,1250,800,"race course road opp rani sati gate
opp dp jewellers office, Indore",All,None,None,"Owner on Jun 26, 2024",Vitrified,3rd   of 3 Floors,Partial,0 to 1 Year Old,2 Months,None,Charges not included,None,None
3,"Vishnupuri Colony, Indore",1 BHK Independent Builder Floor for rent,"₹13,000 /month",None,None,1 Bedroom,2 Bathrooms,No Balcony,None,600,"Vishnupuri Colony, Indore",Family Only,None,None,"Owner on Jun 26, 2024",Marble,Ground of 3 Floors,None,10+ Year Old,1 Months,None,Charges not included,None,4.2
4,Shrikrishna Avenue,2 BHK Flat for rent,"₹13,000 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,730,"Shrikrishna Avenue
Limbodi, Indore",Family Only,None,None,"Owner on Jun 26, 2024",None,3rd   of 4 Floors,None,5 to 10 Year Old,1 Months,Yes,Charges not included,"Lift(s)
Visitor Parking",None
5,"Scheme No 78, Indore",1 Bedroom House for rent,"₹15,000 /month",None,None,1 Bedroom,2 Bathrooms,1 Balcony,None,None,"Scheme No 78, Indore",All,None,None,"Owner on Jun 26, 2024",None,None,None,0 to 1 Year Old,0 Months,None,Charges included,None,4.1
6,Karol Bagh Grand,2 BHK Flat for rent,"₹16,000 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,1200,None,"Karol Bagh Grand
Bhawrasla, Indore",All,None,None,"Owner on Jun 27, 2024",Vitrified,2nd   of 6 Floors,None,1 to 5 Year Old,1 Months,Yes,Charges included,"Power Back-up
Lift(s)
Centrally Air Conditioned
Maintenance Staff
Piped-gas
Swimming Pool
Park
Security Personnel
Natural Light
Internet/wi-fi connectivity
Airy Rooms
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Rain Water Harvesting
Club house / Community Center",3.8
7,"Sukhliya, Indore",1 BHK Independent Builder Floor for rent,"₹9,000 /month",None,None,1 Bedroom,2 Bathrooms,No Balcony,None,800,"Sukhliya, Indore","Family , Bachelors (Women Only)",None,None,"Owner on Jun 25, 2024",Stone,Ground of 2 Floors,None,5 to 10 Year Old,0 Months,None,Charges not included,None,4.0
8,Adarsh Sanskar Velly,2 Bedroom House for rent,"₹12,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,None,"Adarsh Sanskar Velly
Depalpur, Indore",Family Only,None,None,"Owner on Jun 25, 2024",None,None,None,0 to 1 Year Old,0 Months,None,Charges included,None,None
9,arawali parisar,2 BHK Flat for rent,"₹15,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,950,None,"arawali parisar
Bhuri Tekri, Indore",All,None,None,"Owner on Jun 25, 2024",None,7th   of 9 Floors,None,0 to 1 Year Old,1 Months,None,Charges not included,"Security / Fire Alarm
Lift(s)
Maintenance Staff
Water Storage
Park
Visitor Parking",None
10,ashoka regency,Studio Apartments / 1 RK Flats for rent,"₹11,000 /month",None,None,1 Room,1 Bathroom,No Balcony,None,100,"ashoka regency
Mahalaxmi Nagar, Indore",All,None,None,"Owner on Jun 25, 2024",Granite,2nd   of 3 Floors,Full,0 to 1 Year Old,1 Months,None,Charges included,"Maintenance Staff
Visitor Parking",4.3
11,DB Pride,2 BHK Flat for rent,"₹35,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,1130,750,"DB Pride
Talawali Chanda, Indore",Family Only,None,None,"Owner on Jun 25, 2024",Vitrified,14th   of 14 Floors,Full,1 to 5 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
Water purifier
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Piped-gas
Visitor Parking
Swimming Pool
Park
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors
Low Density Society
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",None
12,Aravali Parisar,3 BHK Flat for rent,"₹21,000 /month",None,None,3 Bedrooms,2 Bathrooms,1 Balcony,None,None,"Aravali Parisar
Bhuri Tekri, Indore","Family , Bachelors (Women Only)",None,None,"Owner on Jun 24, 2024",None,8th   of 9 Floors,None,0 to 1 Year Old,0 Months,Yes,Charges not included,None,None
13,Sukhliya Square,Studio Apartments / 1 RK Flats for rent,"₹10,999 /month",None,None,1 Room,1 Bathroom,1 Balcony,None,100,"Sukhliya Square
Sukhliya, Indore",All,None,None,"Owner on Jun 26, 2024",Others,Ground of 3 Floors,None,1 to 5 Year Old,0 Months,None,Charges not included,"Private Garden / Terrace
Water purifier
Internet/wi-fi connectivity",4.0
14,"Umang Park Colony, Chhota Bangarda Road, Indore",1 Bedroom House for rent,"₹5,000 /month",None,None,1 Bedroom,1 Bathroom,No Balcony,None,None,"Umang Park Colony, Chhota Bangarda Road, Indore",Family Only,None,None,"Owner on Jun 24, 2024",Marble,None,None,1 to 5 Year Old,1 Months,None,Charges included,None,None
15,Sai Gold City,2 BHK Independent Builder Floor for rent,"₹10,500 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,1300,"Sai Gold City
Arandia, Indore",Family Only,None,None,"Owner on Jun 24, 2024",Ceramic,1st   of 2 Floors,None,0 to 1 Year Old,1 Months,Yes,Charges included,"Feng Shui / Vaastu Compliant
Private Garden / Terrace
False Ceiling Lighting
Water Storage
Park
Visitor Parking
Natural Light
Internet/wi-fi connectivity
Airy Rooms
Spacious Interiors
Rain Water Harvesting",None
16,All Avenue,2 BHK Flat for rent,"₹16,000 /month",None,None,2 Bedrooms,2 Bathrooms,No Balcony,None,1700,"All Avenue
Khajrana ring road, Indore",Family Only,None,None,"Owner on Jun 24, 2024",None,Ground of 3 Floors,None,5 to 10 Year Old,0 Months,None,Charges included,None,None
17,aravali parisar,2 BHK Flat for rent,"₹15,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,663,"aravali parisar
Bicholi Hapsi, Indore",Family Only,None,None,"Owner on Jun 24, 2024",Vitrified,1st   of 8 Floors,Partial,0 to 1 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Bank Attached Property
Visitor Parking
Park
Security Personnel
Natural Light
Airy Rooms
Waste Disposal
Rain Water Harvesting
Club house / Community Center",None
18,Shubham Nariman Enclave,2 BHK Flat for rent,"₹14,000 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,1300,"Shubham Nariman Enclave
Super Corridor, Indore",All,None,None,"Owner on Jun 24, 2024",Stone,2nd   of 6 Floors,Full,1 to 5 Year Old,1 Months,Yes,Charges not included,"Power Back-up
Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Swimming Pool
Maintenance Staff
Water Storage
Park
Visitor Parking
Fitness Centre / GYM
Club house / Community Center",4.1
19,"Behind Mahindra Show room, Indore",2 Bedroom House for rent,"₹17,500 /month",None,None,2 Bedrooms,1 Bathroom,No Balcony,None,None,"Behind Mahindra Show room, Indore",Family Only,None,None,"Owner on Jun 24, 2024",Vitrified,None,None,1 to 5 Year Old,2 Months,None,Charges not included,None,None
20,"Part 1 Scheme No 114, Indore",2 Bedroom House for rent,"₹16,000 /month",None,None,2 Bedrooms,2 Bathrooms,No Balcony,None,900,"Part 1 Scheme No 114, Indore",Family Only,None,None,"Owner on Jun 24, 2024",None,None,None,1 to 5 Year Old,0 Months,None,Charges not included,None,None
21,b 9302 indore,2 BHK Flat for rent,"₹13,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,950,None,"b 9302 indore
Sahara City Homes, Indore",All,None,None,"Owner on Jun 24, 2024",None,3rd   of 7 Floors,None,1 to 5 Year Old,0 Months,None,Charges included,None,None
22,Bajaj G Dream,1 BHK Flat for rent,"₹8,499 /month",None,None,1 Bedroom,2 Bathrooms,1 Balcony,None,970,"Bajaj G Dream
Vigyan Nagar, Indore",All,None,None,"Owner on Jun 23, 2024",Stone,2nd   of 2 Floors,None,5 to 10 Year Old,0 Months,None,Charges not included,Water Storage,None
23,Vista Victoria Urbane Oasis,2 BHK Flat for rent,"₹15,500 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,850,"Vista Victoria Urbane Oasis
Manu Shree Nagar, Indore","Family , Bachelors (Women Only)",None,None,"Owner on Jun 23, 2024",None,4th   of 7 Floors,None,1 to 5 Year Old,1 Months,Yes,Charges not included,"Lift(s)
Park
Visitor Parking
Security Personnel",None
24,Platinum Paradise,3 Bedroom House for rent,"₹48,000 /month",None,None,3 Bedrooms,3 Bathrooms,3 Balconies,None,None,"Platinum Paradise
Khandwa Road , Indore",All,None,None,"Owner on Jun 22, 2024",Vitrified,None,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Private Garden / Terrace
Water Storage
Park
Visitor Parking",3.7
