,Unnamed: 0,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
104,4,England city pipliya pala,Studio Apartments / 1 RK Flats for rent,"₹7,000 /month",,,1 Room,1 Bathroom,No Balcony,,250.0,"England city pipliya pala
Ambikapuri, Indore",Bachelors (Men/Women),,,"Owner on Jun 20, 2024",,Ground of 1 Floors,,0 to 1 Year Old,0 Months,,Charges included,,
105,5,society,1 BHK Independent Builder Floor for rent,"₹16,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,2500.0,,"society
Hare Krishna Vihar, Indore",All,,,"Owner on Jun 20, 2024",Others,3rd   of 3 Floors,Full,0 to 1 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Water purifier
Maintenance Staff
Water Storage
Park
Visitor Parking
Rain Water Harvesting",
106,6,apartment,Studio Apartments / 1 RK Flats for rent,"₹16,000 /month",,,1 Room,1 Bathroom,1 Balcony,,,"apartment
Hare Krishna Vihar, Indore",All,,,"Owner on Jun 20, 2024",Others,3rd   of 3 Floors,Full,0 to 1 Year Old,1 Months,Yes,Charges not included,,
107,7,Lotus Park,Studio Apartments / 1 RK Flats for rent,"₹14,000 /month",,,1 Room,1 Bathroom,1 Balcony,,1250.0,"Lotus Park
Jakhiya, Indore",Family Only,,,"Owner on Jun 20, 2024",Vitrified,Ground of 3 Floors,,1 to 5 Year Old,1 Months,Yes,Charges included,"Lift(s)
Water Storage
Park",
108,8,EH 15,1 BHK Flat for rent,"₹14,000 /month",,,1 Bedroom,2 Bathrooms,No Balcony,,450.0,"EH 15
Scheme No 54 Indore, Indore","Family , Bachelors (Women Only)",,,"Owner on Jun 19, 2024",Marble,1st   of 1 Floors,,10+ Year Old,1 Months,,Charges not included,Water Storage,4.2
109,9,Sakar Elite Apex,1 Bedroom House for rent,"₹15,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,,"Sakar Elite Apex
Sector R Mahalakshmi Nagar, Indore",All,,,"Owner on Jun 19, 2024",,,,1 to 5 Year Old,2 Months,,Charges not included,,
110,10,"Silicon City, Indore",2 Bedroom House for rent,"₹14,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,,,"Silicon City, Indore",Family Only,,,"Owner on Jun 19, 2024",Vitrified,,,5 to 10 Year Old,1 Months,,Charges not included,,4.0
111,11,IMC Aravali Parisar,3 BHK Flat for rent,"₹20,000 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,1151.0,,"IMC Aravali Parisar
Bicholi Hapsi, Indore",Family Only,,,"Owner on Jun 19, 2024",Vitrified,8th   of 9 Floors,,0 to 1 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Lift(s)
Maintenance Staff
No open drainage around
Park
Visitor Parking
Natural Light
Club house / Community Center
Rain Water Harvesting",
112,12,"Bhagirath Pura, Indore",4 Bedroom House for rent,"₹15,000 /month",,,4 Bedrooms,5 Bathrooms,3+ Balconies,,,"Bhagirath Pura, Indore",All,,,"Owner on Jun 19, 2024",,,,0 to 1 Year Old,0 Months,,Charges included,,
113,13,Karol Bagh Grand,2 Bedroom House for rent,"₹14,500 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,,"Karol Bagh Grand
Super Corridor, Indore",All,,,"Owner on Jun 19, 2024",,,,1 to 5 Year Old,0 Months,,Charges included,,
114,14,Udayraj Galaxy,2 BHK Flat for rent,"₹13,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,200.0,"Udayraj Galaxy
New Rani Bagh, Indore",All,,,"Owner on Jun 22, 2024",,1st   of 4 Floors,,1 to 5 Year Old,0 Months,,Charges included,,
115,15,"Mamta Nagar, Indore",1 BHK Independent Builder Floor for rent,"₹40,000 /month",,,1 Bedroom,1 Bathroom,No Balcony,4000.0,,"Mamta Nagar, Indore",Bachelors (Men Only),,,"Owner on Jul 04, 2024",Cement,Ground of 1 Floors,Full,1 to 5 Year Old,1 Months,,Charges included,,
116,16,sundar,2 BHK Flat for rent,"₹20,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,,850.0,"sundar
Indrapuri Colony, Indore",All,,,"Owner on Jun 20, 2024",Marble,3rd   of 4 Floors,,5 to 10 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Park
Piped-gas
Visitor Parking",4.0
117,17,"Mhow Naka Square, Indore",4 BHK Independent Builder Floor for rent,"₹30,000 /month",,,4 Bedrooms,3 Bathrooms,2 Balconies,,750.0,"Mhow Naka Square, Indore",Family Only,,,"Owner on Jun 19, 2024",,2nd   of 2 Floors,,10+ Year Old,0 Months,,Charges not included,,
118,18,"Manu Shree Nagar, Indore",2 Bedroom House for rent,"₹17,000 /month",,,2 Bedrooms,2 Bathrooms,No Balcony,,,"Manu Shree Nagar, Indore",Family Only,,,"Owner on Jun 28, 2024",,,,5 to 10 Year Old,1 Months,,Charges not included,,
119,19,"aravali parisar, bhuri tekri",3 BHK Flat for rent,"₹16,000 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,,67.69,"aravali parisar, bhuri tekri
Bhuri Tekri, Indore",All,,Immediate,"Owner on May 06, 2024",,9th   of 9 Floors,,0 to 1 Year Old,1 Months,,Charges not included,"Security / Fire Alarm
Lift(s)
Maintenance Staff
Water Storage
Park
Visitor Parking",
120,20,Sarthak Singapore Lifestyle,1 Bedroom House for rent,"₹11,500 /month",,,1 Bedroom,2 Bathrooms,1 Balcony,,,"Sarthak Singapore Lifestyle
Super Corridor, Indore",All,,Immediate,"Owner on Jun 17, 2024",,,,0 to 1 Year Old,0 Months,,Charges included,,4.1
121,21,SAKAR NRI CITY GRAM PANCHAYAT BADIYAKIMA,1 BHK Flat for rent,"₹8,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,450.0,"SAKAR NRI CITY GRAM PANCHAYAT BADIYAKIMA
Badia Keema, Indore",Bachelors (Men Only),,Immediate,"Owner on May 20, 2024",Vitrified,1st   of 3 Floors,Full,0 to 1 Year Old,1 Months,,Charges not included,,
122,22,aashirwad apartment,Studio Apartments / 1 RK Flats for rent,"₹10,000 /month",,,1 Room,1 Bathroom,No Balcony,2000.0,,"aashirwad apartment
Mahalaxmi Nagar, Indore",Bachelors (Men/Women),,Immediate,"Owner on Jun 05, 2024",Ceramic,1st   of 2 Floors,,0 to 1 Year Old,1 Months,,Charges not included,"False Ceiling Lighting
Water Storage
Park
Internet/wi-fi connectivity",4.3
123,23,Highway New York City,3 Bedroom House for rent,"₹10,000 /month",,,3 Bedrooms,4 Bathrooms,1 Balcony,,1188.0,"Highway New York City
Morod, Indore",All,,,"Dealer on Jun 06, 2024",Vitrified,,,5 to 10 Year Old,1 Months,Yes,Charges not included,,
124,24,Shubh Complex,2 BHK Flat for rent,"₹20,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,750.0,650.0,"Shubh Complex
Manishpuri , Indore",All,,,"Owner on Jun 14, 2024",Vitrified,2nd   of 5 Floors,,10+ Year Old,2 Months,,Charges not included,,
125,0,Man mandir apartment,3 BHK Flat for rent,"₹18,000 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,1000.0,,"Man mandir apartment
Saket Nagar , Indore",Family Only,,Immediate,"Owner on Jun 13, 2024",,1st   of 4 Floors,,5 to 10 Year Old,2 Months,,Charges not included,,4.1
126,1,Surya Shreeji Valley,1 Bedroom House for rent,"₹8,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,,"Surya Shreeji Valley
Bicholi Mardana, Indore","Family , Bachelors (Men Only)",,Immediate,"Owner on Jun 27, 2024",,,,0 to 1 Year Old,1 Months,,Charges not included,"Water Storage
Visitor Parking
Rain Water Harvesting",4.0
127,2,Tirumala Town,2 BHK Flat for rent,"₹14,000 /month",,,2 Bedrooms,2 Bathrooms,3 Balconies,1330.0,900.0,"Tirumala Town
Super Corridor, Indore","Family , Bachelors (Women Only)",,Immediate,"Owner on Jun 09, 2024",Vitrified,9th   of 9 Floors,Full,1 to 5 Year Old,2 Months,Yes,Charges not included,"Lift(s)
Swimming Pool
Park
Security Personnel
Airy Rooms
Low Density Society
Fitness Centre / GYM
Club house / Community Center
Rain Water Harvesting",4.1
128,3,Amrit Palace,3 Bedroom House for rent,"₹26,000 /month",,,3 Bedrooms,3 Bathrooms,1 Balcony,,,"Amrit Palace
Nipania, Indore",Family Only,,Immediate,"Dealer on Jun 17, 2024",Wood,,,1 to 5 Year Old,1 Months,,Charges not included,Private Garden / Terrace,4.3
129,4,Matrika Casa Greens,3 Bedroom House for rent,"₹25,000 /month",,,3 Bedrooms,3 Bathrooms,1 Balcony,,,"Matrika Casa Greens
Talawali Chanda, Indore",Family Only,,,"Dealer on Jun 06, 2024",Vitrified,,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Private Garden / Terrace
Maintenance Staff
Water Storage
Visitor Parking",4.0
130,5,Apollo DB City,3 BHK Flat for rent,"₹35,100 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,1982.0,1300.0,"Apollo DB City
Nipania, Indore",All,,Immediate,"Dealer on May 08, 2024",Marble,4th   of 13 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Water purifier
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Piped-gas
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Internet/wi-fi connectivity
Shopping Centre
Fitness Centre / GYM
Rain Water Harvesting
Club house / Community Center",4.1
131,6,Premier Towers,3 BHK Flat for rent,"₹40,500 /month",,,3 Bedrooms,3 Bathrooms,1 Balcony,,1300.0,"Premier Towers
Shalimar Township, Indore",All,,Immediate,"Dealer on May 08, 2024",Marble,6th   of 12 Floors,Full,1 to 5 Year Old,1 Months,Yes,Charges included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Recently Renovated
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",4.0
132,7,Premier Towers,3 BHK Flat for rent,"₹40,200 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,,1300.0,"Premier Towers
Shalimar Township, Indore",All,,Immediate,"Dealer on May 07, 2024",Marble,2nd   of 6 Floors,,1 to 5 Year Old,2 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
Water purifier
High Ceiling Height
False Ceiling Lighting
Water Storage
No open drainage around
Recently Renovated
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center
Water softening plant",4.0
133,8,Heaven Homes,2 BHK Flat for rent,"₹27,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,1174.0,,"Heaven Homes
Scheme No 140 Indore, Indore",Family Only,,Immediate,"Dealer on Jun 03, 2024",,6th   of 6 Floors,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
Visitor Parking",4.3
134,9,Signature Heights,2 BHK Flat for rent,"₹30,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,,996.0,"Signature Heights
Pipliyahana, Indore",All,,Immediate,"Dealer on May 10, 2024",Marble,4th   of 10 Floors,Full,Under Construction,1 Months,Yes,Charges not included,"Security / Fire Alarm
Lift(s)
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Separate entry for servant room
No open drainage around
Visitor Parking
Park
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center
Water softening plant",4.0
135,10,Apollo DB City,3 BHK Flat for rent,"₹35,200 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,1982.0,1300.0,"Apollo DB City
Nipania, Indore",All,,Immediate,"Dealer on May 08, 2024",Marble,5th   of 13 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Centrally Air Conditioned
Water purifier
Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
No open drainage around
Piped-gas
Internet/wi-fi connectivity
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Waste Disposal
Rain Water Harvesting
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",4.1
136,11,Apollo DB City,3 BHK Flat for rent,"₹40,400 /month",,,3 Bedrooms,3 Bathrooms,1 Balcony,,2142.0,"Apollo DB City
Nipania, Indore",All,,Immediate,"Dealer on Jul 03, 2024",Marble,6th   of 15 Floors,Full,1 to 5 Year Old,2 Months,Yes,Charges not included,"Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Lift(s)
Water purifier
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Separate entry for servant room
No open drainage around
Recently Renovated
Visitor Parking
Swimming Pool
Park
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",4.1
137,12,sahil residency,3 BHK Flat for rent,"₹50,000 /month",,,3 Bedrooms,3 Bathrooms,3 Balconies,,1850.0,"sahil residency
Pipliyahana, Indore",Family Only,,Immediate,"Dealer on May 13, 2024",,8th   of 11 Floors,,1 to 5 Year Old,1 Months,,Charges not included,"Security / Fire Alarm
Intercom Facility
Lift(s)
Maintenance Staff
False Ceiling Lighting
Water Storage
Piped-gas",4.0
138,13,"Vijay Nagar , Indore",2 Bedroom House for rent,"₹19,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,,,"Vijay Nagar , Indore",Family Only,,Immediate,"Dealer on Jun 28, 2024",Ceramic,,Full,1 to 5 Year Old,6 Months,,Charges not included,"Private Garden / Terrace
Water Storage
Park
Rain Water Harvesting",4.4
139,14,Mirchandani Shalimar Palms,3 BHK Flat for rent,"₹25,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,1640.0,,"Mirchandani Shalimar Palms
Bicholi Mardana, Indore",Family Only,,Immediate,"Dealer on Jul 01, 2024",Vitrified,5th   of 7 Floors,Partial,10+ Year Old,1 Months,Yes,Charges not included,,4.0
140,15,Tirumala greens phase -I,2 BHK Flat for rent,"₹15,500 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,1000.0,650.0,"Tirumala greens phase -I
Nipania, Indore",Family Only,,Immediate,"Owner on Jun 15, 2024",Ceramic,1st   of 3 Floors,,0 to 1 Year Old,2 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Private Garden / Terrace
Water Storage
No open drainage around
Park
Visitor Parking
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors
Low Density Society
Rain Water Harvesting",4.3
141,16,"Scheme No 114, Indore",1 Bedroom House for rent,"₹16,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,,"Scheme No 114 Indore, Indore",Family Only,,,"Dealer on Jun 18, 2024",Vitrified,,Partial,5 to 10 Year Old,1 Months,,Charges not included,"False Ceiling Lighting
Water Storage
No open drainage around
Visitor Parking",
142,17,rudraksha pride,2 BHK Flat for rent,"₹12,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,1037.0,741.0,"rudraksha pride
Rau Pitampur Road , Indore",Family Only,,Immediate,"Dealer on Jun 18, 2024",Ceramic,2nd   of 6 Floors,,0 to 1 Year Old,2 Months,Yes,Charges not included,,
143,18,Saakaar Atlanta Aura,3 BHK Flat for rent,"₹40,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,2655.0,1790.0,"Saakaar Atlanta Aura
Nipania, Indore",Family Only,,,"Dealer on Jun 18, 2024",Marble,7th   of 10 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Low Density Society
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",4.3
144,19,Orange BCM Park,2 BHK Flat for rent,"₹35,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,1430.0,1000.0,"Orange BCM Park
Pipliya Kumar, Indore",Family Only,,,"Dealer on Jun 18, 2024",,6th   of 14 Floors,,1 to 5 Year Old,1 Months,,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Water purifier
Maintenance Staff
Water Storage
Park
Visitor Parking
Natural Light
Airy Rooms
Spacious Interiors",
145,20,Siddhivinayak Maple Woods,3 BHK Flat for rent,"₹30,000 /month",,,3 Bedrooms,3 Bathrooms,3 Balconies,2206.4,1450.0,"Siddhivinayak Maple Woods
Pipliya Kumar, Indore",All,,,"Dealer on Jun 11, 2024",Ceramic,8th   of 16 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Internet/wi-fi connectivity
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",
146,21,Mirchandani Shalimar Palms,2 BHK Flat for rent,"₹17,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,1200.0,,"Mirchandani Shalimar Palms
Bicholi Mardana, Indore",Family Only,,Immediate,"Dealer on Jul 01, 2024",Vitrified,6th   of 7 Floors,Partial,10+ Year Old,1 Months,Yes,Charges not included,,4.0
147,22,Apollo DB City,1 BHK Flat for rent,"₹21,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,630.0,450.0,"Apollo DB City
Nipania, Indore",All,,,"Dealer on Jun 14, 2024",Vitrified,7th   of 15 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Lift(s)
High Ceiling Height
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Internet/wi-fi connectivity
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Rain Water Harvesting
Club house / Community Center",4.1
148,23,County Walk Villa Kent,3 Bedroom House for rent,"₹20,000 /month",,,3 Bedrooms,3 Bathrooms,1 Balcony,,,"County Walk Villa Kent
Jhalaria, Indore",Family Only,,Immediate,"Dealer on Jul 01, 2024",Vitrified,,,0 to 1 Year Old,1 Months,Yes,Charges not included,,3.8
149,24,"Casa Greens, Indore",2 Bedroom House for rent,"₹21,000 /month",,,2 Bedrooms,3 Bathrooms,1 Balcony,,,"Casa Greens, Indore",Family Only,,,"Dealer on Jul 04, 2024",Vitrified,,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Private Garden / Terrace
Maintenance Staff
Water Storage
Visitor Parking
Rain Water Harvesting",
